"name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location"
"023303353253S3","","023303353253","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","","","","","","","Excluded",""
"062105743353S3","","062105743353","VIHA-DCW-Duncan Cowichan Way - Cowichan Valley ACT Team-Main Building-1st Floor","","","","","","","Excluded",""
"104987","104987","63CAHHLB5J2","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building ","Lab (WAIT WHILE Board)","1","","","","Excluded",""
"1K49K44","HSS-1111146","1K49K44","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4036 (Clinical Nurse Lead + Social Worker)(TV)","4","REQ1747778-RITM1844475-SCTASK2966069","11/30/2029","","General Rounding",""
"28SR624","HSS-1997608","28SR624","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3031 (Nurse Station - Back Office TV)","3","DMND0004884","04/30/2029","07/04/2025","General Rounding","CDH 3rd Floor South"
"45PR624","HSS-1997624","45PR624","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G027 (Hospital at Home)","G","DMND0004884","04/30/2029","","General Rounding",""
"48SR624","HSS-1997600","48SR624","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2031 (Nurse Station - Back Office TV)","2","DMND0004884","04/30/2029","07/04/2025","General Rounding","CDH 2nd Floor South"
"4L49K44","HSS-1048231","4L49K44","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","OR3","1","REQ1446440-RITM1525860-SCTASK2549836","10/31/2029","","",""
"69SR624","HSS-1997613","69SR624","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G035","G","DMND0004884","04/30/2029","08/12/2025","General Rounding",""
"77SR624","HSS-1997598","77SR624","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3031 (Nurse Station - Back Office TV)","3","DMND0004884","04/30/2029","07/04/2025","General Rounding","CDH 3rd Floor South"
"AO000106","HSS-8074427","C23202M018","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","Outside Nursing Station (New Entrance)","1","VIHATRP20230515-086","07/31/2026","07/18/2025","Mobile Cart"," "
"AO000123","HSS-8074430","C23106M010","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","Outside Nursing Station (New Entrance)","1","VIHATRP20230515-089","07/31/2026","07/18/2025","Mobile Cart",""
"AO000142","HSS-8074429","C23202M015","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","Outside Nursing Station (New Entrance)","1","VIHATRP20230515-088","07/31/2026","07/18/2025","Mobile Cart",""
