"City","Location","Building","Floor","Room","Department"
"Chemainus","VIHA-CDH-Cowichan District Hospital","1st Admin trailer","1","'-","'-"
"Duncan","VIHA-CDH-Cowichan District Hospital-Main Building","Annex Building","1st Floor","#203","(TBD)"
"Ladysmith","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","B-Wing - Discovery Youth & Family Substance Use Services","2","(Old Library)","? Emergency"
"Lake Cowichan","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","C Wing","2nd Floor","(TBD)","???"
"Mayne Island","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Cornation Street Building","3",".Reception","Abil Mgt Consult & Accom"
"Mill Bay","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Cowichan Lodge","4",".Reception - Back LH","Abil Mgt Intk & Ret to Wrk"
"Salt Spring Island","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","CUPCC","4th Floor",".Reception - Back RH","ACC Clinical Ops"
"","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","D Wing","G",".Reception - Main LH","ACSS"
"","VIHA-CHCC-Chemainus Health Care Centre-Main Building-Basement 1","D-Wing","",".Reception - Main RH","ACT Team"
"","VIHA-CLRC-Cowichan Lodge","Lancer Building","",".Reception(TBD)","Activities"
"","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main","","?","Acute Care"
"","VIHA-CPRC-Cairnsmore Place (CDH)","Main Building","","? (Laundry)","Admin"
"","VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor","Main building","","? (Swing Office)","Admin Assistant Cowichan Valley"
"","VIHA-CPRF-Caulfield Place Residential Facility-Main Building-1st Floor","Mobile MRI (Outside)","","?? Not Found - Janet Preston","Admin Support"
"","VIHA-CQSS-Cowichan Quw'utsun Secondary School","New Building","","?? WFH (Not found)","Admin Supp-Prevention Svc"
"","VIHA-CQSS-Cowichan Quw'utsun Secondary School-Main Building-1st Floor","Old Building","","??? (Shawna Cadieux)","Admin Team Lead"
"","VIHA-CUPCC-Cowichan Urgent Primary Care Centre","Trailer","","002 (Support Services Manager)","Administration"
"","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-1st Floor","West Block","","004 (Social Worker - Cesca Zamboni)","Admitting"
"","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-2nd Floor","","","006 (Ultrasound Reception)","Adult Day Program"
"","VIHA-DCDF-Duncan Community Dialysis Facility-Main Building-1st Floor","","","009 (Dietician)","Adult Rehab Open Door"
"","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","","","01 (Clinic Room)","Ambulatory Care Unit (ACU)"
"","VIHA-DJS-Duncan Jubilee Street-Main Building-1st Floor","","","02","AMSU - Addiction Medicne & Substance Use"
"","VIHA-DMHC-Duncan Mental Health Centre","","","02 ()","Anesthetic Clinic"
"","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","","","028 (FMO Workshop Area)","Assisted Living Admin"
"","VIHA-DNDR-Duncan Norcross & Drinkwater Road","","","029 (FMO Office M. Casey)","Biomed"
"","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","","","03 (Clinic Room)","Biomedical Engineering"
"","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","","","03 (Nicole)","Bio-Medical Engineering"
"","VIHA-DSS-Duncan Station Street-Main Building-2nd Floor","","","032 (Support Services)","Breast Health"
"","VIHA-DWH-Duncan Waldon House-Main Building-1st Floor","","","038 (Patricia Byron)","Campbell River ACT"
"","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building","","","039 (Pharmacy Area)","Cancer Care"
"","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","","","04 (Diane)","Capital Projects"
"","VIHA-FHMH-Floral House Mental Health-Main Building-1st Floor","","","04 (Nicole Watters)","Case Management"
"","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","","","045 (Pharmacy Office)","Case Managers Ladysmith"
"","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-Basement 1","","","05 (Amber)","CDH 2nd Floor Central"
"","VIHA-LCHU-Lake Cowichan Health Unit-Main Building-1st Floor","","","05 (Shelley)","CDH 2nd Floor East"
"","VIHA-LMH-Lady Minto Hospital","","","06 ()","CDH 2nd Floor South"
"","VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-1st Floor","","","06 (Hillary)","CDH 2nd Floor West"
"","VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-2nd Floor","","","07 ()","CDH 3rd Floor East"
"","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","","","07 (Shylo Miller  - L6)","CDH 3rd Floor South"
"","VIHA-LMH-Lady Minto Hospital-Main Building-Basement 1","","","08 (Dr. Nick Hargrove)","CDH 3rd Floor West"
"","VIHA-MBRC-Mill Bay Radiology Centre-Main Building-1st Floor","","","08 (Leah Soer)","CDH Implementation Admin"
"","VIHA-MIHU-Mayne Island Health Unit-Main Building-1st Floor","","","09 - Benjamin Rhames","CDH Perioperative."
"","VIHA-MMHU-Margaret Moss Building","","","09 ()","CDH RP"
"","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","","","09 (Lyndsey Shields)","CDH/Quality Medical Imaging"
"","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","","","1","CDHRP"
"","VIHA-SSCHC-Salt Spring Island Creek House-Main Building-1st Floor","","","10","CDHRP (Replacement Project)"
