City,Location,Building,Floor,Room,Department
Alert Bay,VIHA-Alert Bay,Main Building,1,106-Trauma room,Emergency Department
Bamfield,VIHA-CICHC-Cormorant Island Community Health Centre-Main Building-1st Floor,Slugget House,1st Floor,408 FNHA-Temp stored in Rehab office, 
Brentwood Bay,VIHA-BAM-Bamfield Health Centre-Main Building-1st Floor,WFH,3,Admitting,Administration
Campbell River,VIHA-BMR-Brentwood Marchant Road-Sluggett House-1st Floor,Work From Home,WFH,Lab,Laboratory
Chemainus,VIHA-BSCR-Brentwood Stelly's Cross Road,220 Dogwood Street,B1,Lab\XRay office,Medical Imaging
Comox,VIHA-Campbell River,CR Dogwood,2,Main Kitchen,Kitchen
Courtenay,VIHA-CRDS-Campbell River Dogwood Street,Main hospital,2st Floor,Maintenance,FMO
Cumberland,VIHA-CRDS-Campbell River Dogwood Street-Main Building-1st Floor,Corporate,2nd,Managers office,Acute care
Denman Island,VIHA-CRED-Campbell River Eagle Drive-Main Building-2nd Floor,Primary Access Clinic,Whitehouse,Mental Health Room,Nursing
Duncan,VIHA-CRG-Campbell River General Hospital,Whitehouse,Whitehouse-1st Floor,MLC Room 200,Residential Care
Gabriola Island,VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse,Campbell River Hospital,Whitehouse-2nd Floor,Multi-Level Care Medication Room,Rural Health
Galiano Island,VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor,CRG,1st,Nurses Station,Decision Support
Gold River,VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-2nd Floor,Main,0,Nurses Station - Dr Computer,Seniors Health - GEM
Hornby Island,VIHA-CRG-Campbell River General Hospital-Main Building,Wellness Centre,10th Floor,PACS Server Room XRay,Human Resources
Kyuquot,VIHA-CRG-Campbell River General Hospital-Main Building-1st Floor,Diagnostic & Treatment,2nd Floor,Acute Care,PHN Western Communities
Ladysmith,VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor,CRHCC,8th Floor,Boardroom,'-
Lake Cowichan,VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor,VIHA_CRG_SOHO,3rd Floor,Lab Collection Room,YSTAR
Mansons Landing,VIHA-CRG-Campbell River General Hospital-Main Building-4th Floor,CRMHAS,Basement 1,MLC Nurses Station,CI/NI CYMH & Substance Use
