"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement"
"","HSS-1010132-M2","HSS-1010132-M2","","","","","","",""
"","HSS-1952944-M1","HSS-1952944-M1","","","","","","",""
"","HSS-1953067-M2","HSS-1953067-M2","","","","","","",""
"","HSS-1954511-M2","HSS-1954511-M2","","","","","","",""
"","HSS-8008872-M1","HSS-8008872-M1","","","Main Building","Medical Imaging Reception","1","",""
"","HSS-8008876-M2","HSS-8008876-M2","","","Main Building","B119","B","",""
"","HSS-1955052-M2","HSS-1955052-M2","","","","","","",""
"","HSS-8008985-M1","HSS-8008985-M1","","","Main Building","Michael McKinley's Office","G","",""
"","HSS-1010142-M2","HSS-1010142-M2","","","","","","",""
"","HSS-1952941-M1","HSS-1952941-M1","","","","","","",""
"","HSS-1952986-M2","HSS-1952986-M2","","","","","","",""
"","HSS-8009010-M2","HSS-8009010-M2","","","Main Building","Technologist Area","1","",""
"","HSS-1954497-M1","HSS-1954497-M1","","","","","","",""
"","HSS-1954522-M2","HSS-1954522-M2","","","","","","",""
"","HSS-8008873-M1","HSS-8008873-M1","","","Main Building","US Tech Area - Outside of M708","1","",""
"","HSS-8008877-M1","HSS-8008877-M1","","","Main Building","1172","1","",""
"","HSS-1955037-M1","HSS-1955037-M1","","","","","","",""
"","HSS-8008982-M1","HSS-8008982-M1","","","South Tower","Doctors Lounge","2","",""
"","HSS-8008985-M2","HSS-8008985-M2","","","Main Building","Michael McKinley's Office","G","",""
"","HSS-1010140-M1","HSS-1010140-M1","","","","","","",""
"","HSS-1952795-M2","HSS-1952795-M2","","","","","","",""
"","HSS-8009010-M1","HSS-8009010-M1","","","Main Building","Technologist Area","1","",""
"","HSS-8009011-M1","HSS-8009011-M1","","","Main Building","Technologist Area","1","",""
"","HSS-1953780-M2","HSS-1953780-M2","","","","","","",""
"","HSS-1954515-M2","HSS-1954515-M2","","","","","","",""
"","HSS-8008870-M1","HSS-8008870-M1","","","Main Building","ultrasound workarea closest to door","G","",""
"","HSS-8008874-M1","HSS-8008874-M1","","","Main Building","M708","1","",""
"","HSS-1955033-M1","HSS-1955033-M1","","","","","","",""
"","HSS-1952974-M1","HSS-1952974-M1","","","","","","",""
"","HSS-8009011-M2","HSS-8009011-M2","","","Main Building","Technologist Area","1","",""
"","HSS-1953779-M1","HSS-1953779-M1","","","","","","",""
"","HSS-1954513-M2","HSS-1954513-M2","","","","","","",""
"","HSS-8008871-M1","HSS-8008871-M1","","","Main Building","Electrodiagnostic Lab","G","",""
"","HSS-8008876-M1","HSS-8008876-M1","","","Main Building","B119","B","",""
"","HSS-1955029-M1","HSS-1955029-M1","","","","","","",""
"","HSS-1955054-M2","HSS-1955054-M2","","","","","","",""
"","HSS-8008984-M1","HSS-8008984-M1","","","South Tower","PCA 1","3","",""
"","HSS-1010162-M1","HSS-1010162-M1","","","","","","",""
"","HSS-1010245-M1","HSS-1010245-M1","","","","","","",""
"","HSS-1953599-M1","HSS-1953599-M1","","","","","","",""
"","HSS-8008809-M1","HSS-8008809-M1","","","Main Building","room 1422","B","",""
"","HSS-8008812-M1","HSS-8008812-M1","","","Main Building","HCN office - Clinic office","1","",""
"","HSS-8008816-M1","HSS-8008816-M1","","","Main Building","216","2","",""
"","HSS-8009012-M1","HSS-8009012-M1","","","Main Building","Technologist Area","1","",""
"","HSS-8009019-M1","HSS-8009019-M1","","","Diagnostic & Treatment","Endoscopy Procedure room 8","1","",""
"","HSS-1954528-M2","HSS-1954528-M2","","","","","","",""
"","HSS-1954548-M2","HSS-1954548-M2","","","","","","",""
"","HSS-1955071-M1","HSS-1955071-M1","","","","","","",""
"","HSS-1010187-M1","HSS-1010187-M1","","","","","","",""
"","HSS-1953261-M1","HSS-1953261-M1","","","","","","",""
"","HSS-1953611-M1","HSS-1953611-M1","","","","","","",""
"","HSS-8008809-M2","HSS-8008809-M2","","","Main Building","room 1422","B","",""
"","HSS-8008813-M1","HSS-8008813-M1","","","Main Building","Emergency","G","",""
"","HSS-8008817-M1","HSS-8008817-M1","","","Main Building","Urgent Care nursing hub","1","",""
"","HSS-8009012-M2","HSS-8009012-M2","","","Main Building","Technologist Area","1","",""
"","HSS-8009020-M1","HSS-8009020-M1","","","Main Building","164","1","",""
"","HSS-1955069-M1","HSS-1955069-M1","","","","","","",""
"","HSS-1955141-M1","HSS-1955141-M1","","","","","","",""
"","HSS-1010425-M1","HSS-1010425-M1","","","","","","",""
"","HSS-1953101-M1","HSS-1953101-M1","","","","","","",""
"","HSS-1953608-M1","HSS-1953608-M1","","","","","","",""
"","HSS-8008814-M1","HSS-8008814-M1","","","Main Building","Urgent Care - WOW cart","1","",""
"","HSS-8009015-M1","HSS-8009015-M1","","","Main Building","12","3","",""
"","HSS-1954542-M2","HSS-1954542-M2","","","","","","",""
"","HSS-1954552-M2","HSS-1954552-M2","","","","","","",""
"","HSS-1955075-M2","HSS-1955075-M2","","","","","","",""
"","HSS-1955085-M2","HSS-1955085-M2","","VIHA-SJC-St. Joseph's Campus","38 Wing","","2","",""
"","HSS-8008986-M1","HSS-8008986-M1","","","South Tower","S236","G","",""
"","HSS-1010173-M1","HSS-1010173-M1","","","","","","",""
"","HSS-1010249-M1","HSS-1010249-M1","","","","","","",""
"","HSS-1953606-M1","HSS-1953606-M1","","","","","","",""
"","HSS-8008811-M1","HSS-8008811-M1","","","Main Building","Social Workers office","1","",""
"","HSS-8009018-M1","HSS-8009018-M1","","","Diagnostic & Treatment","Endoscopy procedure room 6","1","",""
"","HSS-1954529-M2","HSS-1954529-M2","","","","","","",""
"","HSS-1954550-M2","HSS-1954550-M2","","","","","","",""
"","HSS-1955072-M2","HSS-1955072-M2","","","","","","",""
"","HSS-1010611-M2","HSS-1010611-M2","","","","","","",""
"","HSS-1012042-M2","HSS-1012042-M2","","","","","","",""
"","HSS-1953614-M2","HSS-1953614-M2","","","","","","",""
"","HSS-1953635-M2","HSS-1953635-M2","","","","","","",""
"","HSS-1954705-M2","HSS-1954705-M2","","","","","","",""
"","HSS-8008969-M2","HSS-8008969-M2","","","Main Building","309G","3","",""
"LD105429","LD105429","HSS-1111691","","VIHA-PAHC-Port Alberni Health Centre-Main Building-2nd Floor","","","2","",""
"","HSS-8008923-M2","HSS-8008923-M2","","","Main Building","A","2","",""
"","HSS-8008926-M2","HSS-8008926-M2","","","Main Building","2A","2","",""
"","HSS-1953634-M1","HSS-1953634-M1","","","","","","",""
"","HSS-1952564-M2","HSS-1952564-M2","","","","","","",""
"","HSS-8008973-M1","HSS-8008973-M1","","","Patient Care Centre","Unit Clerk desk (right side)","3","",""
"","HSS-1954560-M2","HSS-1954560-M2","","","","","","",""
"","HSS-1954584-M1","HSS-1954584-M1","","","","","","",""
"","HSS-1954593-M1","HSS-1954593-M1","","","","","","",""
"","HSS-8008921-M2","HSS-8008921-M2","","","Eric Martin Pavilion","201-A","2","",""
"","HSS-8008924-M1","HSS-8008924-M1","","","Main Building","2a","2","",""
"","HSS-8008927-M1","HSS-8008927-M1","","","Richmond Pavilion","107","1","",""
"","HSS-1011446-M1","HSS-1011446-M1","","","","","","",""
"","HSS-1011575-M2","HSS-1011575-M2","","","","","","",""
"","HSS-1953631-M1","HSS-1953631-M1","","","","","","",""
"","HSS-1953632-M1","HSS-1953632-M1","","","","","","",""
"","HSS-8008966-M1","HSS-8008966-M1","","","Memorial Pavilion","KW325","3","",""
"","HSS-1955074-M2","HSS-1955074-M2","","","","","","",""
"","HSS-1954589-M1","HSS-1954589-M1","","","","","","",""
"","HSS-8008922-M1","HSS-8008922-M1","","","Main Building","Nicole Tremblay Office, 303C","3","",""
"","HSS-8008925-M1","HSS-8008925-M1","","","Main Building","2A","2","",""
"","HSS-8008928-M1","HSS-8008928-M1","","","Main Building","AB-S009","B","",""
"","HSS-1010710-M1","HSS-1010710-M1","","","","","","",""
"","HSS-1012074-M1","HSS-1012074-M1","","","","","","",""
"PC090022","PC090022","HSS-1043478","","VIHA-NMMC-Nanaimo Millstone Medical Centre-Main Building-2nd Floor","","202-7","2","",""
"","HSS-1953616-M2","HSS-1953616-M2","","","","","","",""
"","HSS-1953637-M2","HSS-1953637-M2","","","","","","",""
"","HSS-8008958-M2","HSS-8008958-M2","","","Eric Martin Pavilion","403","4","",""
"","HSS-1954580-M2","HSS-1954580-M2","","","","","","",""
"","HSS-1954597-M2","HSS-1954597-M2","","","","","","",""
