"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_retired_date","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group"
"AO800315","C002439","C19C14M215","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Port Hardy","Main Building","Acute Care","1","Lease Information Extract - HPFS Tangent","","","Excluded","Acute Care Wing- Nurses station","NTT-Deskside Services-PortHardy-Staffed"
"AO800330","C004913","C19312M231","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor","Port Alice","Main Building","Acute Care","1","Lease Information Extract - HPFS Tangent","","","Excluded","PAH Emergency/Ambulatory Care","NTT-Deskside Services-PortHardy-Remote"
"LD027724","HSS-1016278","PC0UA5XH","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Port Hardy","Main Building","?","1","","","","Excluded","","NTT-Deskside Services-PortHardy-Local"
"LD046086","HSS-1022023","5SFRN53","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","Main Building","Admin Trailer","1","REQ0088977-RITM0092178-SCTASK0146305","","","General Rounding","CH1  Community Health","NTT-Deskside Services-PortHardy-Remote"
"LD058698","HSS-1026985","8RXBBC3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Port McNeill","Main Building","Room 10","1","REQ0257049-RITM0269248-SCTASK0409266","","04/21/2026","General Rounding","Primary Care","NTT-Deskside Services-PortHardy-Remote"
"LD059161LEG","HSS-1029442","7XCZ9C3","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor","Port Alice","Main Building","Doctor's Office (Room #4 on floor plan)","1","REQ0342783-RITM0358950-SCTASK0565056","","06/02/2026","General Rounding","ACV Physician Contracts","NTT-Deskside Services-PortHardy-Remote"
"LD057561","HSS-1030511","73GM7G3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Port Hardy","Main Building","WFH","1","REQ0363034-RITM0380295-SCTASK0613014","","04/27/2026","Excluded","CCN Home Support Admin","NTT-Deskside Services-PortHardy-Staffed"
"LD057657LEG","HSS-1030902","3DL47G3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Port McNeill","Main Building","Admin trailer-Hayley Mcconnell's office","1","REQ0398301-RITM0417346-SCTASK0646295","","04/17/2026","Excluded","ACV Med Staff Cred and Priv","NTT-Deskside Services-PortHardy-Remote"
"PC071346","HSS-1031316","GS8GVD3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Port McNeill","Main Building","Boardroom","1","REQ0425535-RITM0446157-SCTASK0689923","","04/21/2026","General Rounding","Primary Care","NTT-Deskside Services-PortHardy-Remote"
"LD080106","HSS-1036957","DGCJLN3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Port Hardy","Main Building","Indigenous Health","1","REQ0671847-RITM0705761-SCTASK1108202","","02/05/2024","Excluded","FWL","NTT-Deskside Services-PortHardy-Local"
