"City","Location","Building","Floor","Room","Department"
"Sooke","VIHA-AWL-Admirals Walk Lab-Main Building-1st Floor","1250 Quadra","1","? HN3-007","'-"
"Victoria","VIHA-CASA-Sooke Health Unit Public Health Nursing-Main Building-1st Floor","530 Fraser Street","1st Floor","0","#103 - 940 Goldstream Avenue"
"","VIHA-ECS-Esquimalt Comerford Street-Main Building-1st Floor","Building 7","2","1","(TBD)"
"","VIHA-ECV-Eagle Creek Village-Building 7-3rd Floor","D&T","2nd Floor","10","345 Wale Road"
"","VIHA-EHU-Esquimalt Health Unit","Eagle Creek Village Building 7","3","10007","5 North Nursing"
"","VIHA-EHU-Esquimalt Health Unit-Main Building-1st Floor","EMP","3rd Floor","101","6C General Medicine"
"","VIHA-EHU-Esquimalt Health Unit-Main Building-2nd Floor","Eric Martin Pavilion","4","1018","7A South Womens Surgery"
"","VIHA-EUPCC-Esquimalt Urgent Primary Care Centre","GRH","4th Floor","102","890 Esquimalt UPCC - Unit D"
"","VIHA-EUPCC-Esquimalt Urgent Primary Care Centre-Main Building-1st Floor","Heritage","5","105","ACS CPOE Training & Implement"
"","VIHA-EWHU-Esquimalt/Westshore Health Unit","Heritage Woods","5th Floor","1050-collab room","Acute Care"
"","VIHA-EWHU-Esquimalt/Westshore Health Unit-Main Building","Hiscock","6","1054","Acute Medicine"
"","VIHA-EWHU-Esquimalt/Westshore Health Unit-Main Building-1st Floor","Main","6th Floor","1055","ACV Medical Affairs Admin"
"","VIHA-EWHU-Esquimalt/Westshore Health Unit-Main Building-2nd Floor","Main Building","7","1059","Admin"
"","VIHA-HW-Heritage Woods-Main Building-1st Floor","main building","7th Floor","105-collab room","Admin Outpatient"
"","VIHA-PHRF-Panama House Residential Facility-Main Building-1st Floor","Main building","Basement 1","105-MOA","Administation"
"","VIHA-PRIO-Priory Hospital","Main? Not sure what building","TBA","107","Administration"
"","VIHA-PRIO-Priory Hospital-Heritage Woods","Memorial Pav","WFH","108  Front Reception","Admitting"
"","VIHA-PRIO-Priory Hospital-Heritage Woods-1st Floor","Memorial Pavilion","","110","Advanced EHR Systems Support"
"","VIHA-PRIO-Priory Hospital-Hiscock-1st Floor","North","","1101","Amb Care and MQC Admin"
"","VIHA-PRIO-Priory Hospital-Priory Hospital-1st Floor","north tower","","1102","Ambulatory Care Admin"
"","VIHA-PRIO-Priory Hospital-Rosewood Cottage-1st Floor","North Tower","","1109","Antepartum"
"","VIHA-SD62-Sooke School Board-Main Building-1st Floor","North tower","","1121","Behind Main admitting/horseshoe"
"","VIHA-SIHN-Sooke Integrated Health Network-Main Building-1st Floor","RJH","","1125","Biomed"
"","VIHA-SISC-South Island Surgical Centre","Rosewood","","1125 (Parking Office)","Biomedical Engineering"
