"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD065697","LD065129","HSS-8073748","9RPTVP3","VIHA-PAHC-Port Alberni Health Centre-Main Building-1st Floor","Main Building","Gya's device","1","VIHATRP20230417-018","06/30/2031","NTT-Deskside Services-WestCoast-Local"
"PC037565","LD065608","HSS-8072159","G39TVP3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","214","1","VIHATRP20230213-017","05/31/2031","NTT-Deskside Services-WestCoast-Local"
"PC090480","PC090480","HSS-1049156","6WY5VZ3","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","2306","2","INC3675568","06/30/2031","NTT-Deskside Services-WestCoast-Staffed"
"LD101258","LD090905","LD034741","JMG60N3","VIHA-WCMHAS-West Coast Mental Health & Addiction Services-Main Building-1st Floor","Main Building","2nd on right","1","VIHATRP20221114-004","02/28/2031","NTT-Deskside Services-WestCoast-Remote"
"LD034318","LD034318","HSS-1025875","3M1VR63","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","6","1","REQ0188756-RITM0197449-SCTASK0292554","07/31/2029","NTT-Deskside Services-WestCoast-Local"
"PC075784","PC075784","HSS-1940282","92CMG14","VIHA-UPR-Ucluelet Peninsula Road-Community Health Centre-1st Floor","Main Building","105","1","DMND0005326","08/31/2030","NTT-Deskside Services-WestCoast-Remote"
"LD034320","LD066646","HSS-8089590","197JTY3","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","7","1","VIHATRP20240909","11/30/2032","NTT-Deskside Services-WestCoast-Local"
"LD080462","LD066387","HSS-8086258","9PZ3VZ3","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","Main Building","'-Home and Community / Liaison","0","VIHATRP20240429-035","07/31/2032","NTT-Deskside Services-WestCoast-Remote"
"PC033759","PC033759","PC033759","311RVP3","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor","Main Building","Admitting Desk","","VIHATRP20221114-011","02/28/2031","NTT-Deskside Services-WestCoast-Remote"
"PC049267","PC049267","HSS-8078591","4CXRQT3","VIHA-WCGH-West Coast General Hospital-Main Building-1st Floor","Main Building","WC1541","1","VIHATRP20230918-058","11/30/2031","NTT-Deskside Services-WestCoast-Staffed"
