"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement"
"","2027547-0105 CFBASE - CAREFIT BASE",,"2027547-0105","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building",,,,,
"","2028266-0006 CFBASE - CAREFIT BASE",,"2028266-0006","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building",,,,,
"","2033425-0001-CRT","2033425-0001-CRT","2033425-0001","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0002-CRT","2033425-0002-CRT","2033425-0002","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0003-CRT","2033425-0003-CRT","2033425-0003","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0004-CRT","2033425-0004-CRT","2033425-0004","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0005-CRT","2033425-0005-CRT","2033425-0005","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0006-CRT","2033425-0006-CRT","2033425-0006","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0007-CRT","2033425-0007-CRT","2033425-0007","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0008-CRT","2033425-0008-CRT","2033425-0008","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0009-CRT","2033425-0009-CRT","2033425-0009","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0010-CRT","2033425-0010-CRT","2033425-0010","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0011-CRT","2033425-0011-CRT","2033425-0011","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","2033425-0012-CRT","2033425-0012-CRT","2033425-0012","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building",,,,,
"","30601",,"107374-01","",,,,,
"AO400469","A0400132-CRT","A0400132-CRT","1297848-0019","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor",,,,,
"AO800286","A0800286-CRT","A0800286-CRT","1360921-0013","VIHA-CVH-Comox Valley Hospital-Main Building-3rd Floor",,,,,
"AO000002LEG","AO000002-CRT","AO000002-CRT","1826612-0030","VIHA-GRH-Gorge Road Hospital-Main Building-4th Floor",,,,,
"AO000005","AO000005-CRT","AO000005-CRT","1297848-0056","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000006","AO000006-CRT","AO000006-CRT","1269828-0051","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-2nd Floor",,,,,
"AO000009","AO000009-CRT","AO000009-CRT","1296598-0009","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"AO000010","AO000010-CRT","AO000010-CRT","1296598-0021","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"AO000011","AO000011-CRT","AO000011-CRT","1297848-0018","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"AO000013","AO000013-CRT","AO000013-CRT","1297848-0047","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"AO000015","AO000015-CRT","AO000015-CRT","1297850-0008","VIHA-RJH-Royal Jubilee Hospital",,,,,
"AO000018","AO000018-CRT","AO000018-CRT","1297849-0027","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"AO000019LEG","AO000019-CRT","AO000019-CRT","1841539-0015","VIHA-RJH-Royal Jubilee Hospital",,,,,
"AO000021","AO000021-CRT","AO000021-CRT","1297848-0054","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"AO000022","AO000022-CRT","AO000022-CRT","1296598-0007","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor",,,,,
"AO000025","AO000025-CRT","AO000025-CRT","1297850-0042","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-3rd Floor",,,,,
"AO000026","AO000026-CRT","AO000026-CRT","1297850-0061","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
"AO000029","AO000029-CRT","AO000029-CRT","1269742-0033","VIHA-RJH-Royal Jubilee Hospital-Coronation Annex-2nd Floor",,,,,
"","AO000031-CRT","AO000031-CRT","1297847-0033","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"","AO000032-CRT","AO000032-CRT","1268836-0015","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"","AO000033-CRT","AO000033-CRT","1297850-0063","VIHA-RJH-Royal Jubilee Hospital-Royal Jubilee Main-1st Floor",,,,,
"","AO000034-CRT","AO000034-CRT","1297847-0018","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"","AO000041-CRT","AO000041-CRT","1297850-0035","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor",,,,,
"AO000042","AO000042-CRT","AO000042-CRT","1297850-0053","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor",,,,,
"","AO000043-CRT","AO000043-CRT","1297846-0025","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor",,,,,
"AO000045","AO000045-CRT","AO000045-CRT","1297847-0023","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor",,,,,
"","AO000049-CRT","AO000049-CRT","1297850-0009","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor",,,,,
